Current Age,Retired Age,Annual Income,Annual Spending,Investment Risk
38,73,324764,231525,low
22,75,671987,365781,medium
24,61,402407,501331,low
19,69,317207,81662,high
31,60,143249,114311,low
21,62,398510,426637,high
38,60,346297,596821,low
44,69,664675,240626,high
50,65,124877,263835,high
35,69,523073,137572,high
29,70,564963,141017,low
46,60,309495,487976,medium
49,70,537605,324759,medium
39,64,499791,483833,low
47,62,589142,304326,medium
33,65,761603,166200,low
23,60,94948,357522,high
30,65,159843,321285,low
44,64,99257,138475,low
48,63,124534,87635,high
28,65,957724,321296,medium
45,61,228865,203782,medium
20,75,616975,159758,high
37,63,729313,114261,high
23,70,68160,309750,high
18,64,593859,580341,low
50,74,764559,339501,high
19,67,912989,592416,medium
43,75,495108,487546,low
49,62,954858,19897,low
47,75,266269,61742,medium
43,60,719330,316415,medium
43,62,503665,280555,low
50,69,590593,181452,medium
42,60,192725,582690,low
31,62,329772,365771,medium
49,64,17369,65571,medium
42,72,473550,443188,low
40,70,199958,363857,medium
26,67,71590,183969,low
47,70,797958,326557,low
35,72,158258,531607,high
44,60,777846,186973,low
38,66,701105,254296,high
23,74,603166,437940,low
47,61,703429,210465,low
21,74,408461,198794,low
49,73,393957,190097,low
22,73,649523,408196,low
43,61,255677,246473,high
25,67,228497,273658,high
47,71,484162,414235,medium
25,70,19078,228442,high
19,72,549073,110913,high
33,60,672845,104969,high
33,72,735698,46080,low
23,62,842755,327393,medium
21,69,670389,300517,high
36,63,496327,321798,medium
18,68,23289,59054,medium
22,73,212188,317176,low
46,72,323701,446886,low
25,71,566879,162505,high
22,74,264542,556133,low
50,69,236257,408839,low
32,75,77752,449286,high
23,63,128572,561583,high
39,75,325568,405336,medium
20,72,847662,329144,medium
25,64,524066,564146,medium
37,70,980454,445354,low
45,63,321946,453063,low
28,70,177999,216997,low
41,61,427869,335566,medium
50,61,443694,411867,low
43,68,417901,17937,medium
35,70,683426,521341,low
23,75,141154,457906,high
19,64,227687,340934,high
37,62,782298,360207,high
46,74,398188,472571,high
24,69,142759,204892,medium
30,62,76375,596088,high
32,73,553571,535827,low
37,60,607562,462749,low
31,63,639188,599952,low
47,60,357919,147384,high
47,66,604403,26377,high
43,60,197689,54032,medium
37,65,639534,485019,low
23,61,595742,11347,high
50,73,882292,417633,medium
30,60,117510,65854,low
23,73,358730,79689,medium
50,68,146066,138704,high
25,75,417279,256615,medium
30,70,951140,524100,low
22,65,210146,476997,medium
21,64,294152,133429,medium
39,74,184308,16289,high
50,67,51105,393069,low
24,63,663476,134659,low
46,62,792544,306772,low
21,74,405538,153524,high
34,66,232851,527491,high
21,70,814615,391123,high
26,60,358103,546752,low
36,60,633305,145699,medium
42,75,250478,333355,high
29,69,580073,525724,low
40,71,484454,451328,high
21,61,406880,63681,high
33,66,870025,416764,medium
31,66,325478,558010,low
45,67,43841,412191,high
47,68,932470,355238,high
48,70,260129,599299,low
48,73,476043,15408,low
26,61,151303,337221,high
37,67,83658,177750,medium
45,74,663090,527987,high
37,61,842746,49951,low
47,66,118406,572849,high
31,62,492046,496187,high
30,66,29842,419640,high
49,68,592360,165889,medium
18,72,129308,341264,low
25,65,357321,202276,medium
22,61,843616,356395,low
29,63,156751,80300,low
46,71,372484,570918,medium
27,60,885621,72729,medium
23,60,610935,206101,low
37,70,151515,442980,low
24,71,435815,28964,medium
22,60,76128,304327,high
22,65,667208,404785,medium
35,63,328859,490966,high
20,69,582556,149491,high
21,73,88452,596867,medium
50,72,875970,509463,high
22,70,771437,250411,low
25,73,87633,230078,medium
45,64,955975,81642,medium
41,65,558233,150478,high
25,65,622458,220274,low
26,72,583192,491798,medium
41,65,992302,449129,low
22,70,341640,359444,low
29,71,715032,502709,low
50,68,373877,145924,low
45,68,46349,255164,medium
27,61,680326,411225,low
37,75,946775,568253,low
22,64,348135,315393,medium
19,71,153436,333757,low
46,71,30416,319557,low
40,64,957102,36219,medium
46,65,445855,155952,low
21,64,58132,294596,low
20,64,548377,61426,medium
44,74,91768,392686,low
39,68,63777,391129,medium
20,73,485490,146946,medium
23,67,429241,383925,high
25,75,80261,453308,medium
39,69,110229,89055,medium
48,67,177036,338035,high
50,75,799875,148660,low
44,68,879095,276203,high
38,74,121997,563573,medium
49,61,916877,224914,medium
48,70,322180,327754,medium
